FeatureCode,FeatureName,FeatureType,DateCode,Measurement,Units,Value,Indicator (public transport)
S12000050,North Lanarkshire,Council Area,2009,Count,Train Stations,24,Number Of Passenger Train Stations
S12000050,North Lanarkshire,Council Area,2008,Count,Train Stations,23,Number Of Passenger Train Stations
S12000050,North Lanarkshire,Council Area,2011,Count,Train Stations,25,Number Of Passenger Train Stations
S12000050,North Lanarkshire,Council Area,2010,Count,Train Stations,9,Number Of Passenger Train Stations
S92000003,Scotland,Country,2016,Count,Vehicle Kilometres,337,Total Number Of Vehicle Kilometres (Million) On All Bus Services In Scotland
S92000003,Scotland,Country,2015,Count,Vehicle Kilometres,341,Total Number Of Vehicle Kilometres (Million) On All Bus Services In Scotland
S12000050,North Lanarkshire,Council Area,2007,Count,Train Stations,23,Number Of Passenger Train Stations
S12000050,North Lanarkshire,Council Area,2006,Count,Train Stations,23,Number Of Passenger Train Stations
S12000049,Glasgow City,Council Area,2007,Count,Train Stations,60,Number Of Passenger Train Stations
S12000049,Glasgow City,Council Area,2006,Count,Train Stations,60,Number Of Passenger Train Stations
S12000049,Glasgow City,Council Area,2009,Count,Train Stations,60,Number Of Passenger Train Stations
S12000049,Glasgow City,Council Area,2008,Count,Train Stations,60,Number Of Passenger Train Stations
S12000050,North Lanarkshire,Council Area,2013,Count,Train Stations,25,Number Of Passenger Train Stations
S12000050,North Lanarkshire,Council Area,2012,Count,Train Stations,25,Number Of Passenger Train Stations
S12000050,North Lanarkshire,Council Area,2015,Count,Train Stations,25,Number Of Passenger Train Stations
S12000050,North Lanarkshire,Council Area,2014,Count,Train Stations,25,Number Of Passenger Train Stations
S12000040,West Lothian,Council Area,2015,Count,Train Stations,12,Number Of Passenger Train Stations
S12000039,West Dunbartonshire,Council Area,2015,Count,Train Stations,13,Number Of Passenger Train Stations
S12000042,Dundee City,Council Area,2015,Count,Train Stations,2,Number Of Passenger Train Stations
S12000041,Angus,Council Area,2015,Count,Train Stations,7,Number Of Passenger Train Stations
S12000035,Argyll and Bute,Council Area,2015,Count,Train Stations,14,Number Of Passenger Train Stations
S12000034,Aberdeenshire,Council Area,2015,Count,Train Stations,6,Number Of Passenger Train Stations
S12000038,Renfrewshire,Council Area,2015,Count,Train Stations,11,Number Of Passenger Train Stations
S12000036,City of Edinburgh,Council Area,2015,Count,Train Stations,11,Number Of Passenger Train Stations
S92000003,Scotland,Country,2015,Count,Passenger Journeys,410,Total Number Of Passenger Journeys (Million) On All Bus Services In Scotland
S92000003,Scotland,Country,2014,Count,Passenger Journeys,414,Total Number Of Passenger Journeys (Million) On All Bus Services In Scotland
S92000003,Scotland,Country,2014,Count,Vehicle Kilometres,336,Total Number Of Vehicle Kilometres (Million) On All Bus Services In Scotland
S92000003,Scotland,Country,2016,Count,Passenger Journeys,392,Total Number Of Passenger Journeys (Million) On All Bus Services In Scotland
S12000047,Fife,Council Area,2015,Count,Train Stations,19,Number Of Passenger Train Stations
S12000045,East Dunbartonshire,Council Area,2015,Count,Train Stations,6,Number Of Passenger Train Stations
S92000003,Scotland,Country,2015,Count,Train Stations,356,Number Of Passenger Train Stations
